"LicenseNumber","Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseStatus","Phone","ZipCode"
"CA110200973","811 PORT ST, SAINT JOSEPH, Berrien, MI 49085-1183, UNITED STATES","a0i8z0000006UzRAAU","BERRIEN COUNTY PROBATE COURT","Child Placing Agency: Approved Governmental Unit","Saint Joseph","Berrien","2024-06-11","Berrien County Trial Court-Family Division","2026-06-10","Regular","2699837111","49085-1183"
"CA150201032","301 STATE ST, CHARLEVOIX, Charlevoix, MI 49720-1396, UNITED STATES","a0i8z0000006Wf7AAE","CHARLEVOIX COUNTY PROBATE & FAMILY COURT","Child Placing Agency: Approved Governmental Unit","Charlevoix","Charlevoix","2026-01-04","Charlevoix County Probate & Family Court","2028-01-03","Regular","2315477215","49720-1396"
"CA560234172","3712 E ASHMAN ST, MIDLAND, Midland, MI 48642-9314, UNITED STATES","a0i8z0000006ZZ1AAM","42ND CIRCUIT COURT - FAMILY DIVISION","Child Placing Agency: Approved Governmental Unit","Midland","Midland","2024-08-01","42nd Circuit Court","2026-07-31","Regular","9898376086","48642-9314"
"CB031001797","930 Interchange Dr, Holland, Allegan, MI 49423-8508, UNITED STATES","a0i8z000000pkPSAAY","Grant Me Hope","Child Placing Agency: Private","Holland","Allegan","2024-09-03","Grant Me Hope","2026-09-02","Regular","6164035657","49423-8508"
"CB040201041","1044 US HIGHWAY 23 N, ALPENA, Alpena, MI 49707-1250, UNITED STATES","a0i8z0000006WdoAAE","CHILD & FAMILY SERVICES - NORTHEAST MICHIGAN","Child Placing Agency: Private","Alpena","Alpena","2024-12-21","Child Family Services of NE Mich","2026-12-20","Regular","9893564567","49707-1250"
"CB090201254","6019 WESTSIDE SAGINAW RD, BAY CITY, Bay, MI 48706-9357, UNITED STATES","a0i8z0000006TYoAAM","WELLSPRING LUTHERAN SERVICES BAY CITY","Child Placing Agency: Private","Bay City","Bay","2025-11-29","Wellspring Lutheran Services","2027-11-28","Regular","9896867650","48706-9357"
"CB090411936","713 9th Street, Bay City, Bay, MI 48708, USA","a0i8z0000006SE6AAM","Samaritan Youth Shelter CPA","Child Placing Agency: Private","Bay City","Bay","2025-08-27","City Rescue of Saginaw Inc.","2027-08-26","Regular","9895968336","48708-6403"
"CB110403982","185 E. MAIN STREET ST.102, BENTON HARBOR, Berrien, MI 49022-4432, UNITED STATES","a0i8z0000006TbXAAU","CATHOLIC CHARITIES WEST MICHIGAN  - BENTON HARBOR","Child Placing Agency: Private","BENTON HARBOR","Berrien","2024-10-21","Catholic Charities West Michigan","2026-10-20","Regular","2695931000","49022-4432"
"CB130201519","70 CALHOUN ST, BATTLE CREEK, Calhoun, MI 49017-3845, UNITED STATES","a0i8z0000006e0YAAQ","YOUTH GUIDANCE FOSTER CARE","Child Placing Agency: Private","Battle Creek","Calhoun","2024-06-03","Youth Guidance Foster Care","2026-06-02","Regular","2692754954","49017-3845"
"CB171001625","689 E 3 Mile Rd, Unit B, Sault S Marie, Chippewa, MI 49783-9322, UNITED STATES","a0i8z000000eIAWAA2","Arfstrom Faunt Independent Living Center","Child Placing Agency: Private","Sault S Marie","Chippewa","2025-04-26","Chippewa County Family Project Inc.","2027-04-25","Regular","9062590268","49783-9322"
"CB220201016","427 S STEPHENSON AVE STE 215, Suite 215, IRON MOUNTAIN, Dickinson, MI 49801-3458, UNITED STATES","a0i8z0000006aRVAAY","CATHOLIC SOCIAL SERVICES OF THE UPPER PENINSU","Child Placing Agency: Private","Iron Mountain","Dickinson","2025-06-02","Catholic Diocese of Marquette","2027-06-01","Regular","9062288630","49801-3458"
"CB250201015","901 CHIPPEWA ST, FLINT, Genesee, MI 48503-1552, UNITED STATES","a0i8z0000006eJoAAI","CATHOLIC CHARITIES OF SHIAWASSEE AND GENESEE","Child Placing Agency: Private","Flint","Genesee","2024-10-27","Catholic Charities of Shiawassee and Genesee Co","2026-10-26","Regular","8102329950","48503-1552"
"CB250201108","1120 W Bristol Rd, Flint, Genesee, MI 48507-5518, UNITED STATES","a0i8z0000006ddsAAA","ENNIS CENTER FOR CHILDREN - FLINT","Child Placing Agency: Private","Flint","Genesee","2025-02-28","Ennis Center for Children Inc","2027-02-27","Regular","8102334031","48507-5518"
"CB250201474","512 S GRAND TRAVERSE ST, FLINT, Genesee, MI 48502-1207, UNITED STATES","a0i8z0000006UsSAAU","TRAVERSE PLACE","Child Placing Agency: Private","Flint","Genesee","2024-11-02","Genesee County Youth Corp Inc","2026-11-01","Regular","8183416328","48502-1207"
"CB250296641","1024 PROFESSIONAL DR, FLINT, Genesee, MI 48532-3635, UNITED STATES","a0i8z0000006hWrAAI","SAMARITAS - BAY","Child Placing Agency: Private","Flint","Genesee","2023-09-19","Samaritas","2025-09-17","Regular","7346463792","48532-3635"
"CB250410563","1201 N GRAND TRAVERSE ST, FLINT, Genesee, MI 48503-1312, UNITED STATES","a0i8z0000006Z4dAAE","WHALEY CHILDREN'S CENTER- Journey House","Child Placing Agency: Private","Flint","Genesee","2024-11-10","Whaley Children's Center","2026-11-09","Regular","8102343603","48503-1312"
"CB280200990","3597 HENRY ST, NORTON SHORES, Muskegon, MI 49441-6723, UNITED STATES","a0i8z0000006ZgVAAU","Holy Cross Services - Northern Michigan CB","Child Placing Agency: Private","NORTON SHORES","Muskegon","2025-02-19","Holy Cross Children's Services","2027-02-18","Regular","2317692400","49441-6723"
"CB280201014","1000 HASTINGS ST, TRAVERSE CITY, Grand Traverse, MI 49686-3445, UNITED STATES","a0i8z0000006asqAAA","CATHOLIC HUMAN SERVICES INC - TR","Child Placing Agency: Private","Traverse City","Grand Traverse","2025-03-01","Catholic Human Serv. Inc","2027-02-28","Regular","2319478110","49686-3445"
"CB280201037","3785 VETERANS DR, TRAVERSE CITY, Grand Traverse, MI 49684-4516, UNITED STATES","a0i8z0000006V6aAAE","Child & Family Services of Northwestern Michigan","Child Placing Agency: Private","Traverse City","Grand Traverse","2025-04-05","Child & Family Services of NW Michigan Inc","2027-04-04","Regular","2319468975","49684-4516"
"CB280235713","1055 CARRIAGE HILL DR, TRAVERSE CITY, Grand Traverse, MI 49686-5161, UNITED STATES","a0i8z0000006WLZAA2","BETHANY CHRISTIAN SERVICES-TRAVERSE CITY","Child Placing Agency: Private","Traverse City","Grand Traverse","2024-10-11","Bethany Christian Services Inc","2026-10-10","Regular","2319950870","49686-5161"
"CB310282171","57 HURON ST, HOUGHTON, Houghton, MI 49931-2167, UNITED STATES","a0i8z0000006e6UAAQ","U.P. KIDS","Child Placing Agency: Private","Houghton","Houghton","2024-09-21","Good Will Farm Association Inc dba U.P. Kids","2026-09-20","Regular","9064820520","49931-2167"
"CB330201019","2800 W WILLOW ST, LANSING, Ingham, MI 48917-1833, UNITED STATES","a0i8z0000006k2dAAA","Catholic Charities Ingham Eaton Clinton","Child Placing Agency: Private","Lansing","Ingham","2025-04-16","St Vincent Catholic Charities","2027-04-15","Regular","5173234734","48917-1833"
"CB330201039","407 W Greenlawn Ave, Lansing, Ingham, MI 48910-2819, UNITED STATES","a0i8z0000006ZKOAA2","CHILD AND FAMILY CHARITIES","Child Placing Agency: Private","Lansing","Ingham","2025-09-19","Child and Family Charities","2027-09-18","Regular","5178824000","48910-2819"
"CB330201264","1545 KEYSTONE AVE, LANSING, Ingham, MI 48911-4039, UNITED STATES","a0i8z0000006WTvAAM","SAMARITAS - REFUGEE","Child Placing Agency: Private","Lansing","Ingham","2025-10-17","Samaritas","2027-10-16","Regular","5173217663","48911-4039"
"CB330314400","612 W LK LANSING RDSTE600, EAST LANSING, Ingham, MI 48823-8534, UNITED STATES","a0i8z0000006YvMAAU","BETHANY CHRISTIAN SERVICES-EAST LANSING","Child Placing Agency: Private","EAST LANSING","Ingham","2024-03-08","Bethany Christian Services Inc","2026-03-07","Regular","5173360191","48823-8534"
"CB330361250","1545 KEYSTONE AVE, LANSING, Ingham, MI 48911-4039, UNITED STATES","a0i8z0000006TaFAAU","Legacy Adoption Services - West","Child Placing Agency: Private","Lansing","Ingham","2024-12-10","Lutheran Adoption Services, Inc.","2026-12-09","Regular","2692715973","48911-4039"
"CB330371021","5826 Executive Dr, Lansing, Ingham, MI 48911-5303, UNITED STATES","a0i8z0000006TYqAAM","WELLSPRING LUTHERAN SERVICES -LANSING","Child Placing Agency: Private","Lansing","Ingham","2025-09-22","Wellspring Lutheran Services","2027-09-21","Regular","5176641032","48911-5303"
"CB330410104","1288 W Grand River Ave, Suite 100, Williamston, Ingham, MI 48895-8305, UNITED STATES","a0i8z0000006WVaAAM","ENNIS CENTER FOR CHILDREN - Williamston","Child Placing Agency: Private","Williamston","Ingham","2024-05-19","Ennis Center for Children Inc","2026-05-18","Regular","5178810723","48895-8305"
