agency_id,date,agency_name,document_title,is_special_investigation,sha256,date_processed
CA110200973,04/28/2022,Berrien County Trial Court-Family Division,Renewal Inspection Report,False,2731d75f7a6961971906fcc815f17269cb25fbd594953b9a8f43c6436269dfe3,2025-11-03T13:33:47.274306
CA110200973,5/14/2021,Berrien County Trial Court-Family Division,Inspection Report,False,d29a479d77f2e735cb9a45164ee6ccd21049aeba526be8a7acde55d5b165bd0d,2025-11-03T13:33:47.470767
CA110200973,05/07/2020,Berrien County Trial Court-Family Division,Renewal Inspection Report,False,38b0a4d0ea24b002497babc90c7a853696c4cb18ad9feb6a654e788285ddac16,2025-11-03T13:33:47.750253
CA110200973,6/12/2023,BERRIEN COUNTY PROBATE COURT,Inspection Report,False,180b4e5f6b6db6fd825796c43b5bdb24030294defd4ec49944e2fe04c9b4c319,2025-11-03T13:33:48.045709
CA110200973,4/22/2024,BERRIEN COUNTY PROBATE COURT,Renewal Inspection Report,False,2ebf4fbd8b8688b17851a9d575e3dfb627fcbbc03c5efc1a76d3cfa2d6e44ba7,2025-11-03T13:33:48.360889
CA110200973,4/14/2025,BERRIEN COUNTY PROBATE COURT,Inspection Report,False,05f56a00af8e2b1b4074729f96b8ffbde2c9c517d2c7ae2d836514f68e5ec576,2025-11-03T13:33:48.710866
CA150201032,"February 21, 2023",CHARLEVOIX COUNTY PROBATE &,Inspection Report,False,006e8ff7f8beac08f3275c939c732722432795af5295c6bf1541400a42526c35,2025-11-03T13:33:49.123631
CA150201032,12/15/2020,7th Probate and Family Court,Inspection Report,False,a124d9c406bade1a04d747b78c0b661d4803f4b46e8e19f6add0e47cdd518033,2025-11-03T13:33:49.390178
CA150201032,"December 12, 2023",CHARLEVOIX COUNTY PROBATE &,Renewal Inspection Report,False,50e5b55758684b18c1366d0644a19ba6261079c49cb5a50f186661625b1a14fa,2025-11-03T13:33:49.673234
CA150201032,"December 19, 2024",CHARLEVOIX COUNTY PROBATE &,Inspection Report,False,1e3099f7c31b825363a26716af9e605724437b5b2973679fde55e294ca6e13a3,2025-11-03T13:33:49.950846
CA560234172,07/29/2020,42nd Circuit Court,Renewal Inspection Report,False,b4766df4d054420410ed51ea50a11aabe7b48b1c69e41f36abfd4f5d70a00ab6,2025-11-03T13:33:50.174213
CA560234172,09/22/2021,42nd Circuit Court,Inspection Report,False,185c9b6e9c7d601276a30484e8b27dedeffc41c96278a13e8763c72ce6b70a53,2025-11-03T13:33:50.505140
CA560234172,06/29/2022,42nd Circuit Court,Renewal Inspection Report,False,b565a52735d5404b9297d9932ae3a8d684c751378d2e9f474f03e768ed077e23,2025-11-03T13:33:50.813203
CA560234172,07/17/2023,42ND CIRCUIT COURT - FAMILY DIVISION,Inspection Report,False,a2ae078c257d655f439500ba4d2d57b95bc3a8da08cfda7005ebac29cd6b98b9,2025-11-03T13:33:51.053230
CA560234172,5/28/2024,42ND CIRCUIT COURT - FAMILY DIVISION,Renewal Inspection Report,False,bf9d86734ad01b706fcb67f36fb955b5459bc5314b91b24776c87c1676a2f7b3,2025-11-03T13:33:51.299047
CA560234172,07/10/2025,42ND CIRCUIT COURT - FAMILY DIVISION,Inspection Report,False,19e72330e3b25ccfe1fad24b4ad2d4e4047e25a3287bf70620963742d7ea6138,2025-11-03T13:33:51.543283
CB031001797,"March 6, 2024",Grant Me Hope,Licensing Study,False,8f6e8eec3c77e3edc3693840286c9520b08b216b1fee4b7df66f5db3fa137049,2025-11-03T13:33:51.758752
CB031001797,7/18/2024,Grant Me Hope,Renewal Inspection Report,False,691f365f0318a1a6bd70be40538bddbdc2b4d2623582d380f1713c4b01b7b810,2025-11-03T13:33:52.149014
CB031001797,7/17/2025,Grant Me Hope,Inspection Report,False,b4bee93803669f2d87b9e89214bed1036d2b762f260634dbe5fd2906887a1f77,2025-11-03T13:33:52.511416
CB040201041,"December 2, 2019",Child Family Services of NE Michigan,Special Investigation Report #2019C0114036,True,aaacc8e6b4d0728c8f67a381f231d909e71d02a103b7965333bc7bd0d04e69fd,2025-11-03T13:33:52.849517
CB040201041,"February 14, 2020",Child & Family Services - Northeast Michigan,Special Investigation Report #2020C0114007,True,da65a522868914a2da02f8877696c7318e3097f1e29210211dac1bb63452bea1,2025-11-03T13:33:53.224739
CB040201041,"June 28, 2022",Child Family Services of NE Michigan,Special Investigation Report #2022C0114026,True,5bb3797a28fea0e6f49652bac8da49c60efd9341ac4550d1d77b6f71a58461d6,2025-11-03T13:33:53.415763
CB040201041,"October 25, 2021",Child Family Services of NE Michigan,Special Investigation Report #2021C0444003,True,4824ae9c99f50e4f0f3ddc647521f36c7039458a3d8aea3a917e2c0c11b8540c,2025-11-03T13:33:54.087850
CB040201041,"February 14, 2020",Child Family Services of NE Michigan,Inspection Report,False,42f39aca0b08b1baa36bde60fec46cea18ce843439d43e080c37dc173e787131,2025-11-03T13:33:54.672661
CB040201041,"November 4, 16, 2020 and December 2, 3, 2020.",Child Family Services of NE Michigan,Renewal Inspection Report,False,99806c2c1d1bfb23dd56a2017836ad9edb47e518836e2fabd45cd6442ccfccf4,2025-11-03T13:33:55.261359
CB040201041,"February 21, 2020",Child Family Services of NE Michigan,Special Investigation Report #2020C0114009,True,11859f9b47c95a31db4b49b3bce5fe07794b0592d8aae96a9dd775dfbc05db2e,2025-11-03T13:33:55.565600
CB040201041,"February 03, 2022",Child Family Services of NE Mich,Special Investigation Report #2022C0106002,True,330e5008a2017d1e4b576e89d95096551fb08fd683456e6da3b983effd6015e2,2025-11-03T13:33:56.256089
CB040201041,NA 01/19-02/18/2022,Child Family Services of NE Michigan,Inspection Report,False,e6ec8efb61d9d99f792130acb74c7c45f36ee86d52e5aee6358952c4508b1e02,2025-11-03T13:33:57.055194
CB040201041,"September 26, 2023",CHILD & FAMILY SERVICES - NORTHEAST,Special Investigation Report,True,930325450d13f7775ace8bd5f9e32898de2234fef72a6efc00cc4e52cf588956,2025-11-03T13:33:57.427717
CB040201041,"November 9, 2023",CHILD & FAMILY SERVICES - NORTHEAST,Special Investigation Report,True,43a276bab99fb8d2a693eefc91e6f4a768ff269eb829885215bc5a04aa7710a5,2025-11-03T13:33:57.824133
CB040201041,2/12/2024,CHILD & FAMILY SERVICES - NORTHEAST,Inspection Report,False,ccdd67057bd4b19573a1bb0d75bdd26add6e66861ecb8b4b07858b17ce74b0ba,2025-11-03T13:33:58.330106
CB040201041,12/12/2024,CHILD & FAMILY SERVICES - NORTHEAST,Renewal Inspection Report,False,eb360e7f12837e2aa655e5e735e043070552e0e89f8b13ebe8f10b954904ac50,2025-11-03T13:33:58.635065
CB040201041,"March 3, 2025",CHILD & FAMILY SERVICES - NORTHEAST,Special Investigation Report #2025SIC0000421,True,eb0819bc1e4a67801f3943b93e99a7dbe95a0a46a5105ba79708131aef34cfbd,2025-11-03T13:33:58.900122
CB040201041,07/28/2025,CHILD & FAMILY SERVICES - NORTHEAST,Special Investigation Report #2025SIC0000887,True,4a3669918398a6e1837c8f526a6e4a311109bc327438d244ab5aa915c1eb8388,2025-11-03T13:33:59.215788
CB090201254,1/3-25/2023,WELLSPRING LUTHERAN SERVICES BAY,Inspection Report,False,3d403c0845bcf3433d6126d1a83e83ef924f26587903b9aa788c0d9fa9e680b5,2025-11-03T13:33:59.709200
CB090201254,10/25-11/15/2021,Wellspring Lutheran Services,Renewal Inspection Report,False,c4216528aa14d0a5b2d7b26344937017a819b1b6121ad31513dc11092d7a348d,2025-11-03T13:34:00.083583
CB090201254,NA COVID 19 Restrictions 01/12-03/18/2021,Wellspring Lutheran Services,Inspection Report,False,9c8963f18d51be9f2aac6ede84fa0779f38d98bcd4c98c70a78e0b2d66f36221,2025-11-03T13:34:00.505471
CB090201254,11/17/2023,WELLSPRING LUTHERAN SERVICES BAY,Renewal Inspection Report,False,1f8e373b6a31e83a0c7ebb141c64b3e12c35206e2359f61c88b80b4b4df031f9,2025-11-03T13:34:00.822678
CB090201254,10/16/2024,WELLSPRING LUTHERAN SERVICES BAY,Inspection Report,False,48c9b3e40b0dfaacd72ae7e83802cb9a76c275e4759d8d293f1cf52e1dd365bc,2025-11-03T13:34:01.256112
CB090411936,"February 28, 2023",Samaritan Youth Shelter CPA,Licensing Study,False,545d4f46c694308ef309461fbbc2cabbd0f13213bf43795018182fbe32235120,2025-11-03T13:34:01.497643
CB090411936,7/31/2023,Samaritan Youth Shelter CPA,Renewal Inspection Report,False,9d4a6e91f4a8f3a55a374432cba45e3e03dba922ddd6f17253a71fd80d60540d,2025-11-03T13:34:01.750568
CB090411936,7/31/2024,Samaritan Youth Shelter CPA,Inspection Report,False,7b2c154ccf441b182b6d97153d900360b84bcba6ba98f75084fe6ccfe52a0d75,2025-11-03T13:34:01.996875
CB090411936,6/24/25,Samaritan Youth Shelter CPA,Renewal Inspection Report,False,777fee370aa51b6a1db68e15251c929abc1f539aeedab58f85720095caac78d7,2025-11-03T13:34:02.287752
CB110403982,10/25/2021 – 11/1/2021,Catholic Charities West Michigan,Inspection Report,False,4f774a2e5412621e3bb4f60facf124b9e353117515c363090a9844a0a9334a88,2025-11-03T13:34:02.910854
CB110403982,9/15/20 - 9/18/20,Catholic Charities West Michigan,Renewal Inspection Report,False,89c94f759d669c7f995df105354e0fcfee9e5ef5f69fe0a96283a76c80e1015b,2025-11-03T13:34:03.255362
CB110403982,9/06/2022 - 9/9/2022,Catholic Charities West Michigan,Renewal Inspection Report,False,bb5b4e5a42cb2a68db7b878c29e52d32160ca03c1800914ca761ecd3d7231e2c,2025-11-03T13:34:03.837726
CB110403982,"June 30, 2023",Catholic Charities West Michigan- Benton,Special Investigation Report,True,d2ae443355779bc224dad8a0cc526490a24da91323d3fee6b235af2fa32a6edc,2025-11-03T13:34:04.569287
CB110403982,9/11/2023,CATHOLIC CHARITIES WEST MICHIGAN -,Inspection Report,False,e64318534253261bda912a43cfc49cde84f82e7695a5c1a459463f53990e4cd8,2025-11-03T13:34:05.297296
CB110403982,8/19/2024,CATHOLIC CHARITIES WEST MICHIGAN -,Renewal Inspection Report,False,4f7d7d9dc180a10c9b098e8bf28f4fe10dc9537709d17de80f6803003723e341,2025-11-03T13:34:06.353926
CB110403982,"April 8, 2025",CATHOLIC CHARITIES WEST MICHIGAN -,Special Investigation Report #2025SIC0000544,True,69b3675098889a13f1e86a51889fe34f7537fec415a9d2d8a45f135fe45f7c7f,2025-11-03T13:34:06.801769
CB110403982,10/6/2025,CATHOLIC CHARITIES WEST MICHIGAN -,Inspection Report,False,f9aafcfee7504a78dcea1eccdab52bfd338ae8f433e5642c92984578496a3dae,2025-11-03T13:35:27.368226
CB130201519,5/8/2023,YOUTH GUIDANCE FOSTER CARE,Inspection Report,False,14fd0b40067855b2d6bbff850324eb370e28a0a6cb9984b9761f520ebbe91ebf,2025-11-03T13:35:27.993445
CB130201519,04/26/2022 -5/5/2022,Youth Guidance Foster Care,Renewal Inspection Report,False,4ce97a59e47779eabdbc773ae13a4887dcf21d21d7560c445ad05baaac5e86db,2025-11-03T13:35:28.567792
CB130201519,"July 26-30, 2021",Youth Guidance Foster Care,Inspection Report,False,5fa00e654339388d62bba5473d5bac9299a8c5e477c22278f7a633bb00ef831e,2025-11-03T13:35:29.126602
CB130201519,05/15/2017 – 05/18/2017,Youth Guidance Foster Care,Inspection Report,False,95ee2d0e0c60b44625107b4e1baa306944970c8a7c9a08190f2ff7bc7ad1c0b0,2025-11-03T13:35:29.756565
CB130201519,05/08/2020,Youth Guidance Foster Care,Renewal Inspection Report,False,a3e79431c13ed68cccda416110d889e9b7de2aa4d6f17a489c6b2c364f632086,2025-11-03T13:35:30.569234
CB130201519,5/3/2024,YOUTH GUIDANCE FOSTER CARE,Renewal Inspection Report,False,1251496baeb37e8f801e0c78eb4fa1ea96855e013fc2b8e9bc1b37d12858aff1,2025-11-03T13:35:31.215554
CB130201519,5/5/2025,YOUTH GUIDANCE FOSTER CARE,Inspection Report,False,ea41bca359cd48fbe19825a9dca9d25e424880331740a28c0c2da2c38203844a,2025-11-03T13:35:31.627180
CB171001625,"October 28, 2024",Arfstrom Faunt Independent Living Center,Licensing Study,False,34d51e2804ac63f2db2a0f789c42d5dbaa443cc7113223b7f083b53ea01b97f0,2025-11-03T13:35:31.870999
CB171001625,"April 15, 2025",Arfstrom Faunt Independent Living Center,Renewal Inspection Report,False,f9f8ee8c7a448cb2499037a11ed9129c357d1c104d3fa1907e02281c23b3e638,2025-11-03T13:35:32.417395
CB171001625,"July 30, 2025",Arfstrom Faunt Independent Living Center,Special Investigation Report #2025SIC0000901,True,4a00fae0b7e9ee0521927814caef91535ccb4c2cbeb5d4465d2cd4e7201f4de8,2025-11-03T13:35:33.006725
CB220201016,"May 9, 2023",CATHOLIC SOCIAL SERVICES OF THE,Renewal Inspection Report,False,74a910f20bd71ebfd825b6e5c62bcad54f272f9ebeb08648f0989fda8779b157,2025-11-03T13:35:33.481691
CB220201016,09/02/2020,Catholic Diocese of Marquette,Inspection Report,False,d4899f7e8449762cfece7b9610b3780fbcec18bf63c5947f6ebed7b2dff9f287,2025-11-03T13:35:33.718522
CB220201016,"08/10/2021, 08/11/2021",Catholic Diocese of Marquette,Renewal Inspection Report,False,f7594cbe5bc077304b16e6cd3cd3d82e9b5f2563cdba5cf236facaa2b248c8e1,2025-11-03T13:35:34.010560
CB220201016,"September 25, 2018",Catholic Diocese of Marquette,Licensing Study,False,a44d4e88e3436da016674ece626a7f09e9bb989a4ad9ed3335bca1f865dc93f6,2025-11-03T13:35:34.196661
