sha256,response,violation,input_tokens,output_tokens,duration_ms
0005aef67191b6a71053e81c44c2f70a7d60ce7b92d2ca666672f197d66e30dc,"The investigation concerned allegations that the agency failed to timely assess a relative for placement of children, which was not substantiated. However, the investigation revealed two other violations: a failure to document a case contact in the state system within the required five business days, and a failure to complete a required Relative Placement Safety Screen within five business days of the relative's expressed interest. The agency bears responsibility for these administrative and procedural failures.",y,3683,100,6362
0024a225c1d3dde399bd189e0cc2392aad5b47ba9720b1f2fd40204223f74bb1,"A physical fight between two youths (Youth A and Youth B) occurred at the Adrian Group Home on May 10, 2022, resulting in injuries including bruises and a bloody nose for Youth B. The investigation found that while staff-to-youth ratios were technically met, only two staff were on duty instead of the typical three, and they were insufficient to safely control the escalating situation or effectively separate the youths, leading to a prolonged altercation. The evidence substantiates a violation of staffing rules, placing clear culpability on the facility for failing to provide adequate supervision to ensure resident safety.",y,3329,129,3207
0039c6bf571d7de8482f8bfbf6751219309429b5dbeb5c59da575951444dd35f,"A special investigation was conducted after an allegation that a staff member at VISTA MARIA placed his hands around a youth's neck during a physical altercation on April 23, 2025. The investigation, which included interviews with staff, youths, and a review of video footage, found insufficient evidence to substantiate the choking allegation, concluding instead that the youth was the primary aggressor. The report's final determination states that no substantial violations were found and the facility is in compliance, effectively assigning no culpability to the staff or facility.",n,2379,121,2495
00574906d0905de4fe6761e6bf4eb7a5fe250e57900e96425010cbc911f29418,"A special investigation was conducted following allegations that two residents, Youth A and Youth B, engaged in non-consensual sexual touching while under staff supervision in a group home dining area. The investigation found that two staff members were present and supervising at the time, but their attention was divided due to concerns about a potential vaping incident and administrative duties. Ultimately, the state concluded the facility was in compliance with staffing rules, as the staff were physically present and had a direct line of sight, and therefore no violation was established. Despite this finding, the report suggests staff supervision was inadequate as they were focused on paperwork and a secondary concern, which allowed the incident to occur unnoticed.",n,5525,145,6784
0061f513cd124d0e1510e79416aabe4b5c128b4dc99d10b7a38ee25fa4e1de37,"A special investigation was conducted after a report that a youth in foster care had not received her Independent Living stipend check and was unable to contact the agency. The investigation found the youth did eventually receive her check by contacting her assigned worker, and the youth later stated she had initially used the wrong contact number for the agency. The report concludes no policy violation was established. Overall, while there was a lapse in communication and a delayed check delivery around the holidays, the agency's ultimate response and the youth's access to a worker cleared them of formal culpability.",n,1470,123,4846
00a734fd316d634b72f233c11ba20eddc6b8e352963006f87a2a299b36cddadc,"An investigation found that at the Great Lakes Recovery Center for Youth, Youth A gave Youth C a hickey on the neck after both youths were in Youth C's bedroom, which was against facility rules. The incident occurred because Staff 1 left the youths unsupervised, violating the center's line-of-sight supervision policy. The facility is held responsible for the staff's failure to maintain proper supervision, resulting in a substantiated violation.",y,2519,98,3991
00bc1df0d8ed15b758ea4fb9f0675f52d2c0d97d88a9beb69e15f52e32070cc9,"A youth at the New Hope Youth Center was injured when another youth threw a plastic container at her face upon returning from an off-grounds trip, causing a laceration. The investigation found a sufficient number of staff were present, but it substantiated a failure to follow the facility's own supervision policy, as staff did not maintain line-of-sight supervision on the offending youth, which is a repeat violation. Management is directly culpable for this ongoing failure to enforce its written supervision procedures.",y,6498,108,7253
00c2b2403fdd7001e91fe327fc3c376f93e6e89efc7314ec7a03050ef124c452,"The investigation found that Catholic Charities West Michigan failed to properly monitor and document the medical condition of a youth (Youth A) in their care, who suffered significant health deterioration including weight loss, weakness, and pressure sores. The agency violated multiple licensing rules, with repeat violations in staff qualifications, service plan documentation, and case file management, indicating a pattern of non-compliance. The Foster Care Worker and agency oversight bear clear culpability for neglecting timely follow-up and accurate record-keeping, leading to the youth's unaddressed medical needs.",y,5461,123,9671
00fbc257a3b08b5d8d4935c3568565c8ec91f6fbb8379c689b4cc9d35190f5ff,"A special investigation into Queen of Angels found multiple violations involving the improper restraint and treatment of a youth. Staff repeatedly pushed the youth, used an unsafe and disproportionate physical restraint without following protocol, failed to use de-escalation techniques, and did not document the incident. The investigation concluded that the facility and the staff involved, particularly Staff 3, were culpable for the violations.",y,4806,92,4735
00fdfbed71077510235122b3db80661578d75041081defaf73a65d8ca8f656b0,A staff member at Kalamazoo County DHHS sent nude photos of herself to a foster youth with a cognitive impairment and had inappropriate contact. The facility was cited for violating staff qualification rules requiring staff to be suitable for their duties. The facility is held responsible for the employee's actions and must submit a corrective action plan.,y,4323,77,4133
010141b4052ab705742cd80a0fd3d7aff7e1e0d215001b2145092281fcdc4a98,"A youth's financial stipend was withheld by Samaritas staff due to alleged program violations including positive drug tests, possession of a marijuana vape, and refusal to participate in life skills training. The investigation concluded the agency was in compliance, as withholding was allowed per the youth's signed agreements when not actively engaged in the program, and staff offered food assistance alternatives. No substantial violations were found, so no culpability is assigned to the facility.",n,2655,100,5357
